Q86IC9 	 PGEN_.00g000010
Q13887 	 PGEN_.00g083640
O01391 	 PGEN_.00g083660
Q60949 	 PGEN_.00g083720
Q80VJ2 	 PGEN_.00g083750
P83093 	 PGEN_.00g083760
Q32N90 	 PGEN_.00g083770
Q5F457 	 PGEN_.00g083780
Q04671 	 PGEN_.00g083790
Q8MIQ9 	 PGEN_.00g083800
P50503 	 PGEN_.00g083830
P50502 	 PGEN_.00g083880
Q9NQH7 	 PGEN_.00g083890
P28173 	 PGEN_.00g083950
P38024 	 PGEN_.00g083960
Q54WS5 	 PGEN_.00g083970
Q14AT5 	 PGEN_.00g084010
Q03311 	 PGEN_.00g084040
B6ELU0 	 PGEN_.00g084050
P03010 	 PGEN_.00g084090
Q8K1S4 	 PGEN_.00g084170
Q8IV35 	 PGEN_.00g084190
Q9UMR7 	 PGEN_.00g084210
P22897 	 PGEN_.00g084220
P22897 	 PGEN_.00g084230
P22897 	 PGEN_.00g084240
P22897 	 PGEN_.00g084250
P49596 	 PGEN_.00g084280
Q99J23 	 PGEN_.00g084290
P09481 	 PGEN_.00g084300
P28827 	 PGEN_.00g084310
Q80T91 	 PGEN_.00g084340
Q96KG7 	 PGEN_.00g084350
Q2ABP2 	 PGEN_.00g084380
Q9NQM4 	 PGEN_.00g084450
O13066 	 PGEN_.00g084480
Q80T91 	 PGEN_.00g084490
A6BM72 	 PGEN_.00g084500
A6BM72 	 PGEN_.00g084510
Q08BN9 	 PGEN_.00g084530
Q52KP5 	 PGEN_.00g084540
P23470 	 PGEN_.00g084550
O14522 	 PGEN_.00g084560
Q6DIB5 	 PGEN_.00g084570
P28824 	 PGEN_.00g084700
Q2KJG4 	 PGEN_.00g084740
P10716 	 PGEN_.00g084750
Q69Z28 	 PGEN_.00g084760
Q2KJG4 	 PGEN_.00g084780
Q8TE57 	 PGEN_.00g084820
Q9UK39 	 PGEN_.00g084870
Q6KEQ9 	 PGEN_.00g084880
Q6X862 	 PGEN_.00g084890
E2QUI9 	 PGEN_.00g084910
Q10981 	 PGEN_.00g084930
P0C6Y7 	 PGEN_.00g084960
Q96M89 	 PGEN_.00g085010
F1R345 	 PGEN_.00g085040
F1R345 	 PGEN_.00g085050
Q8IXT1 	 PGEN_.00g085060
Q8K2D6 	 PGEN_.00g085080
Q5RC69 	 PGEN_.00g085110
Q06527 	 PGEN_.00g085160
O46162 	 PGEN_.00g085210
Q60538 	 PGEN_.00g085220
Q3ZBM5 	 PGEN_.00g085250
Q5ENY9 	 PGEN_.00g085270
P13866 	 PGEN_.00g085280
Q2M3M2 	 PGEN_.00g085290
Q99056 	 PGEN_.00g085300
Q96MM6 	 PGEN_.00g085310
O43301 	 PGEN_.00g085340
Q9CZJ2 	 PGEN_.00g085350
Q96MM6 	 PGEN_.00g085360
O43301 	 PGEN_.00g085390
Q9CZJ2 	 PGEN_.00g085400
Q8BGF6 	 PGEN_.00g085410
Q92545 	 PGEN_.00g085420
Q1KSC7 	 PGEN_.00g085430
O70131 	 PGEN_.00g085440
Q8BXN7 	 PGEN_.00g085460
Q6NWX7 	 PGEN_.00g085470
O31826 	 PGEN_.00g085480
O31826 	 PGEN_.00g085500
Q5F478 	 PGEN_.00g085540
Q9ULJ7 	 PGEN_.00g085550
Q62192 	 PGEN_.00g085560
P40313 	 PGEN_.00g085580
Q00546 	 PGEN_.00g085600
Q00546 	 PGEN_.00g085610
Q8MP06 	 PGEN_.00g085620
Q94BV5 	 PGEN_.00g085640
Q62381 	 PGEN_.00g085650
O00548 	 PGEN_.00g085680
Q60544 	 PGEN_.00g085690
Q6DJF8 	 PGEN_.00g085700
Q8RA32 	 PGEN_.00g085720
Q62009 	 PGEN_.00g085760
O11780 	 PGEN_.00g085770
Q15582 	 PGEN_.00g085780
P55906 	 PGEN_.00g085790
P74615 	 PGEN_.00g085800
Q80WC9 	 PGEN_.00g085830
Q5RG49 	 PGEN_.00g085870
Q9UM13 	 PGEN_.00g085880
P33587 	 PGEN_.00g085890
Q9ESN4 	 PGEN_.00g085900
P24524 	 PGEN_.00g085910
O75311 	 PGEN_.00g085920
Q8K0U4 	 PGEN_.00g085930
P79784 	 PGEN_.00g085940
Q38PU8 	 PGEN_.00g086040
P23818 	 PGEN_.00g086050
Q5RKN4 	 PGEN_.00g086070
P34595 	 PGEN_.00g086080
Q5RKN4 	 PGEN_.00g086090
Q08D69 	 PGEN_.00g086100
P10394 	 PGEN_.00g086120
Q14094 	 PGEN_.00g086160
O08918 	 PGEN_.00g086170
Q6PFD9 	 PGEN_.00g086180
P73392 	 PGEN_.00g086190
A0A0R4IBK5 	 PGEN_.00g086200
Q9JI35 	 PGEN_.00g086240
Q9H3N8 	 PGEN_.00g086270
P09479 	 PGEN_.00g086280
G5EBR3 	 PGEN_.00g086300
Q24352 	 PGEN_.00g086310
Q08DH3 	 PGEN_.00g086320
Q86TX2 	 PGEN_.00g086330
Q63276 	 PGEN_.00g086340
A2AKK5 	 PGEN_.00g086370
O55137 	 PGEN_.00g086390
Q5FVR5 	 PGEN_.00g086400
Q3UHD3 	 PGEN_.00g086420
O42184 	 PGEN_.00g086450
Q6AWC2 	 PGEN_.00g086520
P49666 	 PGEN_.00g086540
A5D9H7 	 PGEN_.00g086550
Q9UI36 	 PGEN_.00g086570
Q6YHK3 	 PGEN_.00g086610
Q54R58 	 PGEN_.00g086620
Q6YHK3 	 PGEN_.00g086640
Q6YHK3 	 PGEN_.00g086660
Q6SJ95 	 PGEN_.00g086790
Q8TCB0 	 PGEN_.00g086800
P61222 	 PGEN_.00g086840
P61221 	 PGEN_.00g086850
Q62398 	 PGEN_.00g086950
Q68CJ6 	 PGEN_.00g087030
Q569T7 	 PGEN_.00g087090
Q08B72 	 PGEN_.00g087140
P40694 	 PGEN_.00g087180
O75592 	 PGEN_.00g087190
F1RD40 	 PGEN_.00g087200
Q90YI5 	 PGEN_.00g087210
Q96MM6 	 PGEN_.00g087260
O43301 	 PGEN_.00g087290
F7J220 	 PGEN_.00g087310
Q3B8N0 	 PGEN_.00g087320
Q96NJ5 	 PGEN_.00g087330
O15164 	 PGEN_.00g087340
Q53G44 	 PGEN_.00g087370
Q90744 	 PGEN_.00g087430
O77475 	 PGEN_.00g087450
Q8VCT4 	 PGEN_.00g087460
Q8BGC3 	 PGEN_.00g087480
Q09225 	 PGEN_.00g087500
Q69Z28 	 PGEN_.00g087510
Q9UGM3 	 PGEN_.00g087530
Q8CIZ5 	 PGEN_.00g087540
Q6UW02 	 PGEN_.00g087680
Q8BKE6 	 PGEN_.00g087700
Q6P7D4 	 PGEN_.00g087710
Q9I9M5 	 PGEN_.00g087730
A7Y2X0 	 PGEN_.00g087780
Q9IBG7 	 PGEN_.00g087810
Q9ULI3 	 PGEN_.00g087850
P0CJ79 	 PGEN_.00g087860
Q00546 	 PGEN_.00g087960
D3YXG0 	 PGEN_.00g088030
D3YXG0 	 PGEN_.00g088100
Q4ZJM9 	 PGEN_.00g088120
Q8N2E2 	 PGEN_.00g088150
B3EWY9 	 PGEN_.00g088190
B3EWY9 	 PGEN_.00g088200
Q6YHK3 	 PGEN_.00g088220
Q6YHK3 	 PGEN_.00g088230
P20740 	 PGEN_.00g088240
Q6YHK3 	 PGEN_.00g088250
Q8R0W6 	 PGEN_.00g088260
O43609 	 PGEN_.00g088370
O60841 	 PGEN_.00g088380
Q05D44 	 PGEN_.00g088390
Q6YHK3 	 PGEN_.00g088430
P86789 	 PGEN_.00g088450
B9EJ80 	 PGEN_.00g088460
Q9QUN7 	 PGEN_.00g088470
Q8NEN9 	 PGEN_.00g088490
O70511 	 PGEN_.00g088500
O08997 	 PGEN_.00g088510
Q13510 	 PGEN_.00g088520
A5A6P2 	 PGEN_.00g088530
Q96M20 	 PGEN_.00g088540
Q9WVS9 	 PGEN_.00g088590
B8QB46 	 PGEN_.00g088600
Q9Y2Q0 	 PGEN_.00g088610
O30409 	 PGEN_.00g088620
Q6GDV6 	 PGEN_.00g088630
Q49WS9 	 PGEN_.00g088640
Q9HA77 	 PGEN_.00g088660
Q32M45 	 PGEN_.00g088670
A0JM13 	 PGEN_.00g088690
Q7T163 	 PGEN_.00g088710
Q8VDL9 	 PGEN_.00g088720
Q9HCF6 	 PGEN_.00g088730
Q96MM6 	 PGEN_.00g088740
P18173 	 PGEN_.00g088780
Q08BN9 	 PGEN_.00g088800
P23416 	 PGEN_.00g088820
Q91XP5 	 PGEN_.00g088830
P39087 	 PGEN_.00g088890
P39087 	 PGEN_.00g088910
Q502W6 	 PGEN_.00g088950
P59267 	 PGEN_.00g088980
Q6GQI7 	 PGEN_.00g088990
O94762 	 PGEN_.00g089020
P49446 	 PGEN_.00g089030
Q6DIB5 	 PGEN_.00g089040
Q8K0U4 	 PGEN_.00g089050
A0JPI9 	 PGEN_.00g089130
Q8K0U4 	 PGEN_.00g089150
O54834 	 PGEN_.00g089160
A0RQR9 	 PGEN_.00g089200
A0RQR9 	 PGEN_.00g089210
O60494 	 PGEN_.00g089220
Q7Z408 	 PGEN_.00g089230
Q4A3R3 	 PGEN_.00g089270
B7Z0W9 	 PGEN_.00g089280
Q4KLI9 	 PGEN_.00g089290
Q3ZCK8 	 PGEN_.00g089300
Q4R628 	 PGEN_.00g089310
B3DL84 	 PGEN_.00g089320
Q8AV28 	 PGEN_.00g089330
Q9CQP2 	 PGEN_.00g089340
Q2LD37 	 PGEN_.00g089350
O75973 	 PGEN_.00g089360
A2AAE1 	 PGEN_.00g089370
Q14BP6 	 PGEN_.00g089380
Q4ZJM9 	 PGEN_.00g089460
R9UTQ8 	 PGEN_.00g089480
P55918 	 PGEN_.00g089530
Q9BZA8 	 PGEN_.00g089570
Q9HC56 	 PGEN_.00g089580
P33450 	 PGEN_.00g089600
Q9HC56 	 PGEN_.00g089610
Q9GKT2 	 PGEN_.00g089630
Q9GKT2 	 PGEN_.00g089640
Q15262 	 PGEN_.00g089670
P23416 	 PGEN_.00g089690
P35440 	 PGEN_.00g089700
P35442 	 PGEN_.00g089720
B3EWZ3 	 PGEN_.00g089740
D3YXG0 	 PGEN_.00g089760
Q645M6 	 PGEN_.00g089770
Q9QZN3 	 PGEN_.00g089790
Q02040 	 PGEN_.00g089810
Q5ZM11 	 PGEN_.00g089820
Q6P1S4 	 PGEN_.00g089840
Q9P2G9 	 PGEN_.00g089860
O95671 	 PGEN_.00g089870
Q86XS8 	 PGEN_.00g089900
O70277 	 PGEN_.00g089920
Q9Y2Z0 	 PGEN_.00g089930
Q9VXN2 	 PGEN_.00g089940
Q96IZ5 	 PGEN_.00g089950
Q28C44 	 PGEN_.00g089960
Q3SWZ4 	 PGEN_.00g089970
P04962 	 PGEN_.00g089980
O43301 	 PGEN_.00g090000
P24524 	 PGEN_.00g090010
Q7TNC8 	 PGEN_.00g090050
Q501J6 	 PGEN_.00g090060
O88917 	 PGEN_.00g090100
Q7RTY1 	 PGEN_.00g090150
Q8K482 	 PGEN_.00g090170
Q18932 	 PGEN_.00g090420
O95625 	 PGEN_.00g090480
Q96MM6 	 PGEN_.00g090500
P86789 	 PGEN_.00g090520
Q96PY6 	 PGEN_.00g090590
Q96PY6 	 PGEN_.00g090660
Q8NUZ4 	 PGEN_.00g090770
Q96MM6 	 PGEN_.00g090790
P61215 	 PGEN_.00g090840
A8I1Q0 	 PGEN_.00g090900
Q5W0B1 	 PGEN_.00g090930
Q7T0V6 	 PGEN_.00g090940
Q9CZJ2 	 PGEN_.00g090950
Q8K0U4 	 PGEN_.00g090960
Q8K0U4 	 PGEN_.00g090970
Q96MM6 	 PGEN_.00g090980
Q96MM6 	 PGEN_.00g090990
Q96MM6 	 PGEN_.00g091010
O43301 	 PGEN_.00g091020
Q9CZJ2 	 PGEN_.00g091050
Q8K0U4 	 PGEN_.00g091060
Q96MM6 	 PGEN_.00g091070
Q7XBS0 	 PGEN_.00g091120
O95239 	 PGEN_.00g091140
Q460N3 	 PGEN_.00g091150
Q8R323 	 PGEN_.00g091160
Q6P1D7 	 PGEN_.00g091180
P62878 	 PGEN_.00g091210
Q9JHS2 	 PGEN_.00g091220
Q8NHS3 	 PGEN_.00g091230
P07190 	 PGEN_.00g091240
Q60648 	 PGEN_.00g091270
P86789 	 PGEN_.00g091280
P05364 	 PGEN_.00g091290
P86789 	 PGEN_.00g091300
P22897 	 PGEN_.00g091320
O75095 	 PGEN_.00g091330
Q5KU26 	 PGEN_.00g091340
Q6YHK3 	 PGEN_.00g091350
Q6YHK3 	 PGEN_.00g091370
F4KD71 	 PGEN_.00g091390
B6CZ61 	 PGEN_.00g091410
O35738 	 PGEN_.00g091420
Q8DET7 	 PGEN_.00g091460
Q9C0F1 	 PGEN_.00g091470
Q3UTQ8 	 PGEN_.00g091490
Q659C4 	 PGEN_.00g091500
P34611 	 PGEN_.00g091510
Q96PQ7 	 PGEN_.00g091540
Q68EV6 	 PGEN_.00g091580
P48182 	 PGEN_.00g091610
P48182 	 PGEN_.00g091620
P02711 	 PGEN_.00g091630
O14813 	 PGEN_.00g091640
O15294 	 PGEN_.00g091700
A0A1B0GUU1 	 PGEN_.00g091710
P81436 	 PGEN_.00g091720
Q8VHT6 	 PGEN_.00g091750
Q9HBK9 	 PGEN_.00g091770
Q8I335 	 PGEN_.00g091790
Q8I335 	 PGEN_.00g091810
Q9SVG0 	 PGEN_.00g091820
Q0VAA2 	 PGEN_.00g091830
Q9UHJ9 	 PGEN_.00g091840
P35441 	 PGEN_.00g091850
D3YXG0 	 PGEN_.00g091860
P35448 	 PGEN_.00g091870
P30551 	 PGEN_.00g091890
Q09575 	 PGEN_.00g091900
Q9H3Q3 	 PGEN_.00g091960
O55112 	 PGEN_.00g092010
P41436 	 PGEN_.00g092020
Q8JHV9 	 PGEN_.00g092030
Q8JHV9 	 PGEN_.00g092040
Q8N5T2 	 PGEN_.00g092050
A1L1C7 	 PGEN_.00g092060
Q90744 	 PGEN_.00g092070
Q4UMH6 	 PGEN_.00g092080
Q9UBS8 	 PGEN_.00g092090
Q3ZBG6 	 PGEN_.00g092110
P17972 	 PGEN_.00g092150
P00514 	 PGEN_.00g092170
Q9NX08 	 PGEN_.00g092190
O54827 	 PGEN_.00g092200
Q9CQ69 	 PGEN_.00g092210
Q9W391 	 PGEN_.00g092220
Q3EC11 	 PGEN_.00g092230
O14657 	 PGEN_.00g092240
Q6YHK3 	 PGEN_.00g092260
P28666 	 PGEN_.00g092270
Q6YHK3 	 PGEN_.00g092280
Q6IE52 	 PGEN_.00g092300
Q3KPT0 	 PGEN_.00g092310
P82198 	 PGEN_.00g092320
Q62009 	 PGEN_.00g092330
Q62009 	 PGEN_.00g092340
Q96MM6 	 PGEN_.00g092370
Q96MM6 	 PGEN_.00g092380
Q96MM6 	 PGEN_.00g092390
Q96MM6 	 PGEN_.00g092400
Q8K0U4 	 PGEN_.00g092410
Q8K0U4 	 PGEN_.00g092420
Q6P5D4 	 PGEN_.00g092430
Q4VBD9 	 PGEN_.00g092440
D3ZUU2 	 PGEN_.00g092450
Q4VBD9 	 PGEN_.00g092460
F4JYZ8 	 PGEN_.00g092470
P17035 	 PGEN_.00g092480
Q95K79 	 PGEN_.00g092490
Q8NI27 	 PGEN_.00g092510
Q5E9X4 	 PGEN_.00g092520
Q9CQV1 	 PGEN_.00g092530
Q28960 	 PGEN_.00g092540
Q9VW71 	 PGEN_.00g092580
Q14517 	 PGEN_.00g092590
Q9Y3B3 	 PGEN_.00g092600
Q96MM6 	 PGEN_.00g092620
Q96MM6 	 PGEN_.00g092630
Q9VQB7 	 PGEN_.00g092640
Q6ZFH6 	 PGEN_.00g092650
Q9LDH0 	 PGEN_.00g092680
Q6NTV6 	 PGEN_.00g092690
Q6NTV6 	 PGEN_.00g092700
P07742 	 PGEN_.00g092730
O00909 	 PGEN_.00g092740
O74549 	 PGEN_.00g092750
Q28E45 	 PGEN_.00g092760
O75899 	 PGEN_.00g092910
O35655 	 PGEN_.00g092970
Q8NBS3 	 PGEN_.00g092980
P50430 	 PGEN_.00g093010
G5E8K5 	 PGEN_.00g093020
Q9V3H8 	 PGEN_.00g093030
Q9HC07 	 PGEN_.00g093040
P91427 	 PGEN_.00g093050
P61215 	 PGEN_.00g093090
Q14162 	 PGEN_.00g093110
Q06805 	 PGEN_.00g093130
Q14162 	 PGEN_.00g093140
Q14162 	 PGEN_.00g093150
A0JM12 	 PGEN_.00g093180
Q96KG7 	 PGEN_.00g093190
O75095 	 PGEN_.00g093210
O75095 	 PGEN_.00g093250
O68007 	 PGEN_.00g093260
P18433 	 PGEN_.00g093270
Q15262 	 PGEN_.00g093280
Q5ND28 	 PGEN_.00g093290
Q6DIB5 	 PGEN_.00g093300
Q96KG7 	 PGEN_.00g093310
Q80T91 	 PGEN_.00g093320
P34456 	 PGEN_.00g093330
Q60847 	 PGEN_.00g093340
Q29IK4 	 PGEN_.00g093350
Q14832 	 PGEN_.00g093360
O43511 	 PGEN_.00g093390
O43511 	 PGEN_.00g093410
Q8IN35 	 PGEN_.00g093420
Q00589 	 PGEN_.00g093430
P98163 	 PGEN_.00g093480
O18875 	 PGEN_.00g093490
O18875 	 PGEN_.00g093500
Q8N1A6 	 PGEN_.00g093510
Q7TM99 	 PGEN_.00g093550
Q9W4S1 	 PGEN_.00g093560
O95239 	 PGEN_.00g093580
Q9NWY4 	 PGEN_.00g093590
Q24799 	 PGEN_.00g093600
Q9Y345 	 PGEN_.00g093650
Q6YHK3 	 PGEN_.00g093690
Q8R422 	 PGEN_.00g093800
Q6YHK3 	 PGEN_.00g093820
Q8IZJ3 	 PGEN_.00g093840
Q9MZ34 	 PGEN_.00g093860
O75382 	 PGEN_.00g093870
Q6UW01 	 PGEN_.00g093880
Q9NZJ4 	 PGEN_.00g093950
Q8VIF2 	 PGEN_.00g093970
Q9DBI0 	 PGEN_.00g093980
Q9VWK6 	 PGEN_.00g093990
Q8K2G4 	 PGEN_.00g094000
Q3USJ8 	 PGEN_.00g094010
Q5RED7 	 PGEN_.00g094030
Q56R14 	 PGEN_.00g094060
Q15063 	 PGEN_.00g094150
Q15063 	 PGEN_.00g094210
Q6P5I8 	 PGEN_.00g094280
Q3URE9 	 PGEN_.00g094320
Q6P5I8 	 PGEN_.00g094330
Q963B7 	 PGEN_.00g094340
Q28CH8 	 PGEN_.00g094350
Q9H6E4 	 PGEN_.00g094360
Q4V348 	 PGEN_.00g094390
B7Z0W9 	 PGEN_.00g094420
P33300 	 PGEN_.00g094430
F4KD71 	 PGEN_.00g094470
Q9URY6 	 PGEN_.00g094490
Q7XBS0 	 PGEN_.00g094500
F4KD71 	 PGEN_.00g094510
Q07263 	 PGEN_.00g094520
P42839 	 PGEN_.00g094530
Q5ZM71 	 PGEN_.00g094540
Q9NP73 	 PGEN_.00g094550
O60290 	 PGEN_.00g094560
O94925 	 PGEN_.00g094610
O08786 	 PGEN_.00g094620
Q7Z5L3 	 PGEN_.00g094640
P23435 	 PGEN_.00g094650
P31315 	 PGEN_.00g094660
P70118 	 PGEN_.00g094680
P25067 	 PGEN_.00g094710
Q7TNC8 	 PGEN_.00g094750
Q5RA17 	 PGEN_.00g094770
Q9D1C9 	 PGEN_.00g094780
Q8BHE1 	 PGEN_.00g094790
Q8IZU2 	 PGEN_.00g094800
Q8IZU2 	 PGEN_.00g094810
O14772 	 PGEN_.00g094820
F4KD71 	 PGEN_.00g094830
Q4W9V1 	 PGEN_.00g094870
O01346 	 PGEN_.00g094890
Q8BTS4 	 PGEN_.00g094930
Q9HC56 	 PGEN_.00g094940
Q9H3Q3 	 PGEN_.00g094970
Q1JQE6 	 PGEN_.00g094980
Q9BXX0 	 PGEN_.00g094990
Q61410 	 PGEN_.00g095030
Q9NVU7 	 PGEN_.00g095040
A9JSB3 	 PGEN_.00g095050
Q95RI5 	 PGEN_.00g095160
Q15262 	 PGEN_.00g095170
P34456 	 PGEN_.00g095210
P34457 	 PGEN_.00g095230
Q54WS5 	 PGEN_.00g095260
Q5ZKN2 	 PGEN_.00g095290
Q2KIG0 	 PGEN_.00g095300
Q7Z2Y8 	 PGEN_.00g095310
Q80SU7 	 PGEN_.00g095320
Q17MI0 	 PGEN_.00g095350
Q86XL3 	 PGEN_.00g095360
Q15582 	 PGEN_.00g095380
O33752 	 PGEN_.00g095390
Q6XPS3 	 PGEN_.00g095400
Q1PRL4 	 PGEN_.00g095410
Q6XPS3 	 PGEN_.00g095430
Q7TP65 	 PGEN_.00g095450
Q9I8S4 	 PGEN_.00g095460
P69478 	 PGEN_.00g095480
P69478 	 PGEN_.00g095490
Q8R395 	 PGEN_.00g095500
Q1L5Z9 	 PGEN_.00g095510
Q8IVH4 	 PGEN_.00g095520
Q9CR16 	 PGEN_.00g095530
Q03017 	 PGEN_.00g095540
P47990 	 PGEN_.00g095550
P49219 	 PGEN_.00g095560
P83757 	 PGEN_.00g095570
Q03017 	 PGEN_.00g095580
Q04861 	 PGEN_.00g095590
Q03017 	 PGEN_.00g095600
Q04861 	 PGEN_.00g095610
Q9BZA8 	 PGEN_.00g095630
P83425 	 PGEN_.00g095650
Q9HC56 	 PGEN_.00g095660
Q9HC56 	 PGEN_.00g095680
Q9QZ85 	 PGEN_.00g095730
Q9BYX4 	 PGEN_.00g095750
Q3ZT31 	 PGEN_.00g095780
Q5ZLC6 	 PGEN_.00g095790
Q9UUY8 	 PGEN_.00g095800
P16273 	 PGEN_.00g095850
Q53G44 	 PGEN_.00g095870
P04755 	 PGEN_.00g095910
P04755 	 PGEN_.00g095920
P91766 	 PGEN_.00g095930
Q7RTY7 	 PGEN_.00g095950
Q2TA14 	 PGEN_.00g095960
Q9VCA9 	 PGEN_.00g095970
P33450 	 PGEN_.00g095980
Q8BHH2 	 PGEN_.00g095990
Q8TCB0 	 PGEN_.00g096060
Q8TCB0 	 PGEN_.00g096100
Q8TCB0 	 PGEN_.00g096110
Q9HC56 	 PGEN_.00g096150
A0JPI9 	 PGEN_.00g096160
Q687X5 	 PGEN_.00g096190
Q687X5 	 PGEN_.00g096240
Q687X5 	 PGEN_.00g096250
Q8VIF2 	 PGEN_.00g096270
Q64127 	 PGEN_.00g096310
O15164 	 PGEN_.00g096320
Q08DY8 	 PGEN_.00g096330
A4IF63 	 PGEN_.00g096340
Q91XQ5 	 PGEN_.00g096380
Q7LFX5 	 PGEN_.00g096400
P15305 	 PGEN_.00g096410
Q7LFX5 	 PGEN_.00g096440
Q4LDE5 	 PGEN_.00g096500
A0JM12 	 PGEN_.00g096540
P27473 	 PGEN_.00g096560
Q01514 	 PGEN_.00g096590
P27473 	 PGEN_.00g096610
Q9H0R5 	 PGEN_.00g096630
Q6DIB5 	 PGEN_.00g096660
Q9W0A0 	 PGEN_.00g096670
Q96GP6 	 PGEN_.00g096700
Q6DIB5 	 PGEN_.00g096710
Q5SVZ6 	 PGEN_.00g096770
P91766 	 PGEN_.00g096780
Q9W0A0 	 PGEN_.00g096850
Q96KG7 	 PGEN_.00g096880
A6BM72 	 PGEN_.00g096890
O14522 	 PGEN_.00g096900
P59222 	 PGEN_.00g096910
Q9W0A0 	 PGEN_.00g096930
Q9W0A0 	 PGEN_.00g096940
Q80T91 	 PGEN_.00g096960
O14522 	 PGEN_.00g096970
Q2ABP2 	 PGEN_.00g097060
Q9CZJ2 	 PGEN_.00g097070
Q2TA46 	 PGEN_.00g097080
Q9NUP9 	 PGEN_.00g097090
P86854 	 PGEN_.00g097160
Q9EP86 	 PGEN_.00g097170
O60494 	 PGEN_.00g097180
Q17QB7 	 PGEN_.00g097220
Q9BXJ9 	 PGEN_.00g097230
P95329 	 PGEN_.00g097240
O77475 	 PGEN_.00g097270
Q9UGN5 	 PGEN_.00g097290
O75581 	 PGEN_.00g097300
Q6AZB8 	 PGEN_.00g097370
Q6SR69 	 PGEN_.00g097600
A2AU72 	 PGEN_.00g097870
A2AU72 	 PGEN_.00g098090
Q9VZZ9 	 PGEN_.00g098240
P27398 	 PGEN_.00g098250
Q9VT28 	 PGEN_.00g098270
Q9VT28 	 PGEN_.00g098280
Q3UGF1 	 PGEN_.00g098290
Q5SQX6 	 PGEN_.00g098310
Q8IVV2 	 PGEN_.00g098320
O16025 	 PGEN_.00g098330
C8YR32 	 PGEN_.00g098340
O16025 	 PGEN_.00g098350
O70582 	 PGEN_.00g098360
Q2I0E5 	 PGEN_.00g098370
O61307 	 PGEN_.00g098390
Q9R1C0 	 PGEN_.00g098400
Q3SWX0 	 PGEN_.00g098410
Q5R7Q3 	 PGEN_.00g098430
Q9CZJ2 	 PGEN_.00g098440
Q1ZXD6 	 PGEN_.00g098450
Q923Q2 	 PGEN_.00g098500
Q96QB1 	 PGEN_.00g098510
Q8N5Y2 	 PGEN_.00g098620
P49395 	 PGEN_.00g098630
Q5TYV0 	 PGEN_.00g098640
F1QYJ6 	 PGEN_.00g098680
F1QYJ6 	 PGEN_.00g098700
O43704 	 PGEN_.00g098730
G3V9R3 	 PGEN_.00g098750
O43704 	 PGEN_.00g098780
Q9UBQ7 	 PGEN_.00g098800
Q6ZPI0 	 PGEN_.00g098810
Q5M823 	 PGEN_.00g098820
Q9P2J5 	 PGEN_.00g098830
Q55GU0 	 PGEN_.00g098860
O75596 	 PGEN_.00g098880
P42519 	 PGEN_.00g098980
P29786 	 PGEN_.00g099100
Q8BYI9 	 PGEN_.00g099110
Q6P791 	 PGEN_.00g099130
Q96I59 	 PGEN_.00g099140
P49446 	 PGEN_.00g099200
Q9W0A0 	 PGEN_.00g099210
P9WI29 	 PGEN_.00g099310
Q17QV3 	 PGEN_.00g099330
Q91YL7 	 PGEN_.00g099340
Q9H720 	 PGEN_.00g099350
A7MB34 	 PGEN_.00g099380
Q8K0U4 	 PGEN_.00g099390
Q8K0U4 	 PGEN_.00g099400
Q71R50 	 PGEN_.00g099440
Q71R50 	 PGEN_.00g099460
O60879 	 PGEN_.00g099510
Q5ZMS6 	 PGEN_.00g099540
Q6PG95 	 PGEN_.00g099550
Q6NTV6 	 PGEN_.00g099600
Q6VUC1 	 PGEN_.00g099650
Q8MQJ9 	 PGEN_.00g099670
Q0IJ01 	 PGEN_.00g099690
Q96B26 	 PGEN_.00g099700
Q2KHU3 	 PGEN_.00g099710
A4FV08 	 PGEN_.00g099750
Q80SU7 	 PGEN_.00g099760
Q60649 	 PGEN_.00g099840
Q960W6 	 PGEN_.00g099930
Q8NB14 	 PGEN_.00g099950
Q8NB14 	 PGEN_.00g099960
Q66HG8 	 PGEN_.00g100020
Q9MZS9 	 PGEN_.00g100030
Q4U2R1 	 PGEN_.00g100070
Q4G0Z9 	 PGEN_.00g100090
Q2KID6 	 PGEN_.00g100100
Q9NVA2 	 PGEN_.00g100110
Q8NFP9 	 PGEN_.00g100120
Q9W4E2 	 PGEN_.00g100140
Q6NYB4 	 PGEN_.00g100160
Q9W4E2 	 PGEN_.00g100180
Q14590 	 PGEN_.00g100200
Q86UW6 	 PGEN_.00g100250
Q6Y5D8 	 PGEN_.00g100290
A6NI28 	 PGEN_.00g100320
Q9Y3S2 	 PGEN_.00g100330
P34586 	 PGEN_.00g100370
O62852 	 PGEN_.00g100390
P34586 	 PGEN_.00g100400
O95714 	 PGEN_.00g100450
Q5HYK7 	 PGEN_.00g100460
Q8K0U4 	 PGEN_.00g100520
Q8K0U4 	 PGEN_.00g100530
Q62784 	 PGEN_.00g100560
Q62784 	 PGEN_.00g100570
Q96PE3 	 PGEN_.00g100580
Q96PE3 	 PGEN_.00g100590
Q8K0U4 	 PGEN_.00g100620
O43301 	 PGEN_.00g100630
Q91X43 	 PGEN_.00g100690
O95714 	 PGEN_.00g100700
P34586 	 PGEN_.00g100740
O62852 	 PGEN_.00g100750
P34586 	 PGEN_.00g100780
Q32LC9 	 PGEN_.00g100820
A6NI28 	 PGEN_.00g100830
P0CAX5 	 PGEN_.00g100850
