all_GO_ids	gene
GO:0005794;GO:0000123;GO:0035267;GO:0005654;GO:0005634;GO:0000124;GO:0000812;GO:0033276;GO:0005667;GO:0003713;GO:0003712;GO:0006325;GO:0006281;GO:0016578;GO:0043968;GO:0043967;GO:0006355	PGEN_.00g039890
GO:0005576;GO:0005764;GO:0004560;GO:0006004;GO:0016139	PGEN_.00g039900
GO:0000785;GO:0005737;GO:0016020;GO:0031965;GO:0005654;GO:0005634;GO:0003682;GO:0003723;GO:0001955;GO:0042742;GO:0045087;GO:0051151;GO:0045787;GO:1900087;GO:0043123;GO:1900245;GO:1900246;GO:0006275	PGEN_.00g039910
GO:0005737;GO:0005874;GO:0005634;GO:0032991;GO:0005876;GO:0003684;GO:0003677;GO:0003887;GO:0019899;GO:0016829;GO:0046872;GO:0008017;GO:0007568;GO:0006915;GO:0006284;GO:0006287;GO:0006974;GO:0006260;GO:0006303;GO:0048872;GO:0071707;GO:0001701;GO:0006954;GO:0008630;GO:0048535;GO:0051402;GO:0006290;GO:0045471;GO:0010332;GO:0055093;GO:0007435;GO:0016445;GO:0016446;GO:0048536	PGEN_.00g039920
GO:0016597;GO:0030246;GO:0097367;GO:0004360;GO:0042802;GO:0032869;GO:0032922;GO:0006002;GO:0006042;GO:0006541;GO:0045719;GO:0006487;GO:0032868;GO:0009744;GO:0006048;GO:0006047	PGEN_.00g039930
GO:0005739;GO:0050459;GO:0030170;GO:0008483	PGEN_.00g039950
GO:0005930;GO:0005814;GO:0005813;GO:0036064;GO:0005929;GO:0030991;GO:0097730;GO:0032391;GO:0001750;GO:0060271;GO:0007368;GO:1990403;GO:0031076;GO:0048701;GO:0042733;GO:0007507;GO:0035721;GO:0042073;GO:0035108;GO:0021532;GO:1905515;GO:0035845;GO:0061512;GO:1902017;GO:0008589	PGEN_.00g039960
GO:0016021;GO:0005886;GO:0004930;GO:0009881;GO:0007602;GO:0018298;GO:0007601	PGEN_.00g039990
GO:0030424;GO:0030425;GO:0005886;GO:0043083;GO:0043195;GO:0005044;GO:0004252;GO:0006887;GO:0031638	PGEN_.00g040010
GO:0031463;GO:0005794;GO:0005819;GO:0014032;GO:0014029;GO:0006513;GO:0006417	PGEN_.00g040040
GO:0071204;GO:0016604;GO:0005654;GO:0005634;GO:0005697;GO:0005683;GO:0071209;GO:0006398;GO:1900087;GO:1902275	PGEN_.00g040050
	PGEN_.00g040060
GO:0060170;GO:0005929;GO:0035108	PGEN_.00g040070
GO:0005829;GO:0031901;GO:0043231;GO:0030904;GO:0042802;GO:0035091;GO:0034498;GO:0006886	PGEN_.00g040080
GO:0005829;GO:0031901;GO:0043231;GO:0042802;GO:0035091;GO:0034498;GO:0006886	PGEN_.00g040090
GO:0005887;GO:0016020;GO:0031594;GO:0005886;GO:0045202;GO:0001609;GO:0001973;GO:0002553;GO:0030336;GO:0008285;GO:0032088;GO:0050850;GO:0050729;GO:0002687;GO:0043306;GO:0070257;GO:0014068	PGEN_.00g040130
GO:0005634;GO:0001228;GO:0046872;GO:0000978;GO:0006357	PGEN_.00g040140
GO:0000786;GO:0005634;GO:0003677;GO:0046982;GO:0031507	PGEN_.00g040150
GO:0045296;GO:0003723	PGEN_.00g040200
GO:0005737;GO:0005829;GO:0097504;GO:0016604;GO:0005654;GO:0032797;GO:0034719;GO:0000398;GO:0000245;GO:0000387	PGEN_.00g040220
GO:0016592;GO:0003712;GO:0006357	PGEN_.00g040230
GO:0005737;GO:0016020;GO:0005509;GO:0004198;GO:0007298;GO:0016322;GO:0016540;GO:0006508	PGEN_.00g040240
GO:0015629;GO:0005887;GO:0005886;GO:0004930;GO:0008188;GO:0031628;GO:0042277;GO:0009582;GO:0007186;GO:0045761;GO:2000479;GO:0043408	PGEN_.00g040250
GO:0016021;GO:0005887;GO:0008188;GO:0004995;GO:0050911;GO:0007186;GO:0050805;GO:0007218;GO:0042048;GO:1904058;GO:0007217	PGEN_.00g040270
GO:0005737;GO:0000123;GO:0035267;GO:0005634;GO:0005700;GO:0005703;GO:0000124;GO:0003712;GO:0006281;GO:0016573;GO:0043486;GO:0043966;GO:0006355;GO:0035222	PGEN_.00g040360
GO:0001669;GO:0005737;GO:0005829;GO:0005759;GO:0031965;GO:0106377;GO:0106378;GO:0035539;GO:0008413;GO:0047693;GO:0008828;GO:0016818;GO:0046872;GO:0030515;GO:0042262;GO:0006281;GO:0006152	PGEN_.00g040420
GO:0016021	PGEN_.00g040430
GO:0016021	PGEN_.00g040440
GO:0030424;GO:0043194;GO:0009925;GO:0016323;GO:0009986;GO:0030425;GO:0014704;GO:0016328;GO:0005764;GO:0016020;GO:0031594;GO:0043005;GO:0033268;GO:0033270;GO:0005886;GO:0045211;GO:0042383;GO:0016529;GO:0014731;GO:0045202;GO:0030315;GO:0030018;GO:0045296;GO:0008092;GO:0140031;GO:0030674;GO:0030507;GO:0005200;GO:0044325;GO:0007411;GO:0007409;GO:0071286;GO:0045162;GO:0045184;GO:0043001;GO:0010960;GO:0072660;GO:0071709;GO:0000281;GO:1902260;GO:0007528;GO:0019228;GO:0007009;GO:0045760;GO:2001259;GO:0010650;GO:0010628;GO:0034112;GO:1900827;GO:0045838;GO:0090314;GO:2000651;GO:0010765;GO:0099612;GO:0072659;GO:0043266;GO:0007165;GO:0050808	PGEN_.00g040450
GO:0110016;GO:0005730;GO:0005654;GO:0005634;GO:0090734;GO:0008023;GO:0005524;GO:0016887;GO:0008094;GO:0140658;GO:0003682;GO:0003677;GO:0004386;GO:0008022;GO:0047485;GO:0030296;GO:0044877;GO:0070063;GO:0006284;GO:0000077;GO:0042262;GO:0006281;GO:0097680;GO:0008630;GO:0007254;GO:0035264;GO:2001033;GO:0022008;GO:0030182;GO:0031175;GO:0045494;GO:0045739;GO:0032786;GO:1905168;GO:0045945;GO:0060261;GO:0006290;GO:0032784;GO:0034243;GO:0010332;GO:0006979;GO:0000303;GO:0009636;GO:0009411;GO:0010224;GO:0010165;GO:0000012;GO:0006366;GO:0006362;GO:0006283	PGEN_.00g040470
GO:0110016;GO:0005730;GO:0005654;GO:0005634;GO:0090734;GO:0008023;GO:0005524;GO:0016887;GO:0008094;GO:0140658;GO:0003682;GO:0003677;GO:0004386;GO:0008022;GO:0047485;GO:0030296;GO:0044877;GO:0070063;GO:0006284;GO:0000077;GO:0042262;GO:0006281;GO:0097680;GO:0008630;GO:0007254;GO:0035264;GO:2001033;GO:0022008;GO:0030182;GO:0031175;GO:0045494;GO:0045739;GO:0032786;GO:1905168;GO:0045945;GO:0060261;GO:0006290;GO:0032784;GO:0034243;GO:0010332;GO:0006979;GO:0000303;GO:0009636;GO:0009411;GO:0010224;GO:0010165;GO:0000012;GO:0006366;GO:0006362;GO:0006283	PGEN_.00g040480
GO:0005634;GO:0003677;GO:0000981;GO:0000978;GO:0008270;GO:0006357	PGEN_.00g040510
GO:0005737;GO:0005634;GO:0000122	PGEN_.00g040540
GO:0005737;GO:0005829;GO:0005794;GO:0005886;GO:0005524;GO:0005246;GO:0030553;GO:0004692;GO:0042802;GO:0106310;GO:0004712;GO:0019934;GO:0016358;GO:0030900;GO:0090331;GO:1904753;GO:1904706;GO:0001764;GO:0043087;GO:0060087	PGEN_.00g040550
GO:0031252;GO:0005783;GO:0005789;GO:0016021;GO:0016020;GO:0005886;GO:0019899;GO:0034613;GO:0042743;GO:0010729;GO:0045666;GO:0008104;GO:0015031;GO:0050727;GO:2000609	PGEN_.00g040630
GO:0005789;GO:0016021;GO:0015031	PGEN_.00g040640
GO:0016021;GO:0005886;GO:0140359;GO:0005524;GO:0042626;GO:0015562;GO:0010588;GO:0010184;GO:0009736;GO:0042742;GO:0140115;GO:0140352;GO:0042542;GO:0010222	PGEN_.00g040670
GO:0005737;GO:0036464;GO:0005829;GO:0016607;GO:0005654;GO:0005634;GO:0003729;GO:0044877;GO:0003723;GO:0006406;GO:0016973;GO:0045727	PGEN_.00g040680
GO:0005903;GO:0005881;GO:0016020;GO:0005902;GO:0004090;GO:0042802;GO:0050038;GO:0016614;GO:0016655;GO:0042732;GO:0006006;GO:0006739;GO:2000379;GO:0005997	PGEN_.00g040690
GO:0044322;GO:0009897;GO:0016021;GO:0048471;GO:0030246;GO:0030282;GO:0006897;GO:0009100;GO:0055088;GO:0031647	PGEN_.00g040700
GO:0009897;GO:0016021;GO:0030246;GO:0019863;GO:0046872;GO:0002925;GO:0051712;GO:0051000;GO:0051770	PGEN_.00g040710
GO:0016021;GO:0005887;GO:0008528;GO:0004930;GO:0008188;GO:0004983;GO:0042277;GO:0008340;GO:0007186;GO:0048047;GO:0007218	PGEN_.00g040720
GO:0005794;GO:0005887;GO:0045121;GO:0030670;GO:0050135;GO:0061809;GO:0038023;GO:0004888;GO:0042497;GO:0071726;GO:0071727;GO:0006954;GO:0045087;GO:0002755;GO:0001817;GO:0034134;GO:0002224	PGEN_.00g040790
GO:0048046;GO:0009505;GO:0050660;GO:0052898;GO:0052893;GO:0052897;GO:0016491;GO:0046592;GO:0052896;GO:0052900;GO:0006598;GO:0046208	PGEN_.00g040800
GO:0042802	PGEN_.00g040840
GO:0005615;GO:0005764;GO:0004197;GO:0008239;GO:0051603	PGEN_.00g040860
GO:0032580;GO:0005797;GO:0016021;GO:0046920;GO:0008417;GO:0018392;GO:0036065;GO:0036071;GO:0007399;GO:0006486	PGEN_.00g040870
GO:0000139;GO:0016021;GO:0047756;GO:0008146;GO:0016051;GO:0030206;GO:0008045;GO:0007517;GO:0030166	PGEN_.00g040930
GO:0000139;GO:0016021;GO:0001537;GO:0008146;GO:0016051;GO:0030208;GO:0050655	PGEN_.00g040940
GO:0030246	PGEN_.00g040950
GO:0005581;GO:0031012;GO:0005615;GO:0016021;GO:0030246;GO:0030169;GO:0046872;GO:0038187	PGEN_.00g040960
GO:0009986;GO:0010008;GO:0005887;GO:0005886;GO:0038024;GO:0005537;GO:0038023;GO:0004888;GO:0001618;GO:0071346;GO:0071353;GO:0071222;GO:0006898	PGEN_.00g040970
GO:0062023;GO:0031012;GO:0005576;GO:0005796;GO:0043202;GO:0030246;GO:0005201;GO:0005540;GO:0046872;GO:0007155;GO:0007417;GO:0006508;GO:0001501	PGEN_.00g040990
GO:0005758;GO:0033617	PGEN_.00g041010
GO:0005737;GO:0005829;GO:0005634;GO:0016605;GO:0032991;GO:0001741;GO:0004197;GO:0101005;GO:0042802;GO:1990380;GO:0002039;GO:0008022;GO:0004843;GO:0031625;GO:0035616;GO:0010216;GO:0035520;GO:0032088;GO:0032435;GO:0043065;GO:1901537;GO:0016579;GO:0070536;GO:0050821;GO:0042752;GO:0051090;GO:0006111;GO:0031647;GO:1905279;GO:0048511;GO:0006283;GO:0006511	PGEN_.00g041020
GO:0030014;GO:0005737;GO:0005829;GO:0016020;GO:0005634;GO:0000175;GO:0004532;GO:0046872;GO:0030374;GO:0004535;GO:0003723;GO:0043928;GO:0035195;GO:0070966;GO:0000289;GO:0008284;GO:0010606	PGEN_.00g041050
GO:0030014;GO:0005737;GO:0005829;GO:0005634;GO:0000175;GO:0046872;GO:0004535;GO:0031047;GO:0061157;GO:0006397;GO:0000288;GO:0000289;GO:0008284;GO:0010606	PGEN_.00g041080
GO:0022625;GO:0005743;GO:0003723;GO:0003735;GO:0000470;GO:0006412	PGEN_.00g041090
GO:0005737;GO:0005783;GO:0005743;GO:0005759;GO:0005739;GO:0043531;GO:0005524;GO:0019899;GO:0004352;GO:0004354;GO:0004353;GO:0005525;GO:0070728;GO:0070403;GO:0021549;GO:0006538;GO:0006541;GO:0007616;GO:0032024;GO:0010044;GO:0072350	PGEN_.00g041100
GO:0016607;GO:0005685;GO:0071004;GO:0019899;GO:0003729;GO:0003723;GO:0006376	PGEN_.00g041110
GO:0005747;GO:0032981;GO:0006979	PGEN_.00g041120
GO:0000139;GO:0016021;GO:0016758;GO:0006629;GO:0006486	PGEN_.00g041140
GO:0016021;GO:0032039;GO:0016020;GO:0031965;GO:0005654;GO:0016180;GO:0034474	PGEN_.00g041210
GO:0022626;GO:0000228;GO:0005730;GO:0015935;GO:0019843;GO:0003735;GO:0006412	PGEN_.00g041220
GO:0005874;GO:0032991;GO:0051020;GO:0001755;GO:0007165;GO:0034446	PGEN_.00g041230
GO:0031071;GO:0030170;GO:0006534	PGEN_.00g041250
GO:0005829;GO:0005887;GO:0043005;GO:0005886;GO:0004930;GO:0042923;GO:0030165;GO:0042277;GO:0004994;GO:0007193;GO:0071392;GO:0071385;GO:0021549;GO:0030900;GO:0007187;GO:0008285;GO:0007218;GO:0030432;GO:0006937;GO:0042594;GO:0007283	PGEN_.00g041330
GO:0005829;GO:0022626;GO:0022627;GO:0070062;GO:0005925;GO:0016020;GO:0005654;GO:0005634;GO:0045296;GO:0019899;GO:0017134;GO:0003729;GO:0003723;GO:0003735;GO:0002181;GO:0051443;GO:0006412	PGEN_.00g041380
GO:0005576	PGEN_.00g041400
GO:0005783;GO:0030176;GO:0005730;GO:0005654;GO:0000151;GO:0030674;GO:0007338;GO:0030433	PGEN_.00g041420
GO:0005829;GO:0048269;GO:0016597;GO:0005524;GO:0042802;GO:0046872;GO:0004478;GO:1990830;GO:0007623;GO:0006730;GO:0051291;GO:0034214;GO:0051591;GO:0009725;GO:0009416;GO:0009410;GO:0006556	PGEN_.00g041430
GO:0061685;GO:0017183	PGEN_.00g041440
GO:0005829;GO:0019898;GO:0005764;GO:0000407;GO:0034045;GO:0080025;GO:0032266;GO:0062078;GO:0000045;GO:0000422;GO:0044804;GO:0009267;GO:0006497;GO:0034497	PGEN_.00g041470
GO:0005759;GO:0005739;GO:0043956;GO:0120092;GO:0004300;GO:0006635	PGEN_.00g041480
GO:0005856;GO:0005794;GO:0016021	PGEN_.00g041490
GO:0005759;GO:0005739;GO:0045252;GO:0046872;GO:0004591;GO:0030976;GO:0006103;GO:0006096;GO:0006099	PGEN_.00g041500
GO:0030127;GO:0031463;GO:0005737;GO:0031410;GO:0005829;GO:0005783;GO:0070971;GO:0005789;GO:0005768;GO:0005654;GO:0005634;GO:0005509;GO:0048306;GO:0042802;GO:0000287;GO:0046983;GO:0042803;GO:0030674;GO:0043495;GO:1990756;GO:0006919;GO:0001525;GO:0006915;GO:0034605;GO:0048208;GO:0006888;GO:0006886;GO:0051898;GO:0032007;GO:0030948;GO:0014032;GO:0014029;GO:0045766;GO:0043280;GO:0010595;GO:0001938;GO:1902527;GO:0051592;GO:0036324	PGEN_.00g041510
GO:0062023;GO:0005737;GO:0031012;GO:0005615;GO:0019898;GO:0016021;GO:0030670;GO:0030658;GO:0042589;GO:0003677;GO:0050840;GO:1904399;GO:0001530;GO:0070891;GO:0038187;GO:0005044;GO:0035375;GO:0061844;GO:0001824;GO:0030154;GO:0006952;GO:0050829;GO:0050830;GO:0042494;GO:0043152;GO:0001833;GO:0030858;GO:0015031;GO:0006898;GO:0009617	PGEN_.00g041520
GO:0031305;GO:0032977;GO:0033617;GO:0051205;GO:0032979;GO:0051204;GO:0008535	PGEN_.00g041530
GO:0005813;GO:0005737	PGEN_.00g041560
GO:0000785;GO:0000781;GO:0000794;GO:0005737;GO:0030870;GO:0005654;GO:0005634;GO:0048471;GO:0016605;GO:0005657;GO:0035861;GO:0008408;GO:0008296;GO:0008409;GO:0004520;GO:0042802;GO:0030145;GO:0008022;GO:0000014;GO:0008283;GO:0006974;GO:0051276;GO:0032508;GO:0110025;GO:0006302;GO:0000724;GO:0006303;GO:0007507;GO:0007129;GO:0042138;GO:0097552;GO:0007095;GO:0031573;GO:0043066;GO:0046597;GO:0033674;GO:0031954;GO:0032206;GO:0007062;GO:0000723;GO:0031860	PGEN_.00g041570
GO:0005654;GO:0005634;GO:1990904;GO:0030532;GO:0097322;GO:0003723;GO:0017070;GO:0000494;GO:0061026;GO:0030154;GO:0006397;GO:1904871;GO:1905382;GO:0060043;GO:0048024;GO:0008380;GO:0007283;GO:1990438	PGEN_.00g041580
GO:0005604;GO:0062023;GO:0016021;GO:0005886;GO:0046872;GO:0007154;GO:0030326;GO:0003338;GO:0002009;GO:0015031;GO:0060021;GO:0043588	PGEN_.00g041590
GO:0005794;GO:0005887;GO:0045121;GO:0030670;GO:0005886;GO:0043235;GO:0035355;GO:0001540;GO:0042802;GO:0071723;GO:0050135;GO:0061809;GO:0046982;GO:0038023;GO:0005102;GO:0035663;GO:0004888;GO:0007250;GO:0001775;GO:1904646;GO:0071221;GO:0071726;GO:0140052;GO:0042742;GO:0042496;GO:0006955;GO:0006954;GO:0045087;GO:0001774;GO:0002755;GO:0032717;GO:0034136;GO:0046209;GO:1900017;GO:0010628;GO:0043123;GO:0032731;GO:0032755;GO:0043507;GO:0043032;GO:0051092;GO:0045429;GO:1900227;GO:1903223;GO:1903428;GO:0007165;GO:0034150;GO:0002224;GO:0035666	PGEN_.00g041660
GO:0071818;GO:0005829;GO:0045048;GO:0071816	PGEN_.00g041670
GO:0097208;GO:0097233;GO:0030659;GO:0005615;GO:0016021;GO:0043231;GO:0042599;GO:0097232;GO:0005770;GO:0005765;GO:0032585;GO:0005886;GO:0008559;GO:0005524;GO:0016887;GO:0042626;GO:0005319;GO:0140345;GO:0120019;GO:0044267;GO:0006869;GO:0030324;GO:0070925;GO:0046470;GO:0046471;GO:0055091;GO:0015914;GO:0010875;GO:1902995;GO:2001140;GO:0032464;GO:0046890;GO:0150172;GO:0051384;GO:0009410;GO:0043129;GO:0046618;GO:0006855;GO:0042908	PGEN_.00g041690
GO:0005737;GO:0008385;GO:0005634;GO:0005524;GO:0046982;GO:0042803;GO:0004674;GO:0071356;GO:0007417;GO:0055113;GO:0007249;GO:0007252;GO:0043066;GO:0043124;GO:0018105;GO:0051092;GO:0045944;GO:0001757;GO:0033209	PGEN_.00g041700
GO:0005524;GO:0008902;GO:0000287;GO:0008972;GO:0004789;GO:0009228;GO:0009229	PGEN_.00g041730
GO:0009986;GO:0098794;GO:0048786;GO:0045202;GO:0005509;GO:0070577;GO:0035064;GO:0003713;GO:0061659;GO:0008270;GO:0007405;GO:0016567;GO:0050730;GO:0048167;GO:0035249;GO:0008542	PGEN_.00g041740
GO:1901797	PGEN_.00g041820
GO:0005737;GO:0005783;GO:0005794;GO:0005797;GO:0005795;GO:0030173;GO:0008375;GO:0046872;GO:0033829;GO:0048749;GO:0001745;GO:0035017;GO:0007450;GO:0036099;GO:0007293;GO:0007480;GO:0036011;GO:0008587;GO:0007476;GO:0045746;GO:0030707;GO:0045747;GO:0006486;GO:0008593;GO:0043393;GO:0048100;GO:0048190	PGEN_.00g041840
GO:0016021;GO:0005886;GO:0015293;GO:0015204;GO:0006995;GO:0071918	PGEN_.00g041850
GO:0005737;GO:0004745	PGEN_.00g041870
GO:0016021;GO:0005886;GO:0015293;GO:0015204;GO:0006995;GO:0071918	PGEN_.00g041880
GO:0005737;GO:0008146;GO:0071466;GO:0051923	PGEN_.00g041930
GO:0005887;GO:0005509;GO:0016339;GO:0098609;GO:0044331;GO:0007156	PGEN_.00g041940
GO:0009986;GO:0005737;GO:0005576;GO:0005615;GO:0030018;GO:0005125;GO:0008083;GO:0005179;GO:0033612;GO:0031433;GO:0032924;GO:0007512;GO:0055009;GO:0030509;GO:0060038;GO:0007155;GO:0060347;GO:0001822;GO:0010614;GO:0030308;GO:0030336;GO:0010596;GO:0060389;GO:0060045;GO:0010613;GO:0061036;GO:2000138;GO:0010628;GO:0010862;GO:0060298;GO:0045893;GO:0055117;GO:1903242;GO:0045214;GO:0060395;GO:0055015;GO:0055010	PGEN_.00g041970
GO:0005892;GO:0005887;GO:0043005;GO:0045211;GO:0045202;GO:0022848;GO:0030594;GO:0004888;GO:0098655;GO:0007268;GO:0034220;GO:0050877;GO:0042391;GO:0007165;GO:0007271	PGEN_.00g041990
GO:0031391;GO:0005634;GO:0005524;GO:0016887;GO:0003677;GO:0061860;GO:0008283;GO:0006974;GO:0090618;GO:0008630;GO:0042771;GO:0045190;GO:1902230;GO:1902166;GO:0033260;GO:0090305;GO:0030890;GO:1902751;GO:0045740;GO:0048304;GO:1901990;GO:0042770	PGEN_.00g042000
GO:0030127;GO:0005829;GO:0070971;GO:0005789;GO:0012507;GO:0000149;GO:0008270;GO:0090110;GO:0006888;GO:0001701;GO:0006886	PGEN_.00g042020
GO:0031252;GO:0005783;GO:0005789;GO:0016021;GO:0016020;GO:0005886;GO:0019899;GO:0034613;GO:0042743;GO:0010729;GO:0045666;GO:0008104;GO:0015031;GO:0050727;GO:2000609	PGEN_.00g042030
GO:0016021;GO:0005887;GO:0008028;GO:0015293;GO:0015718	PGEN_.00g042050
GO:0016021;GO:0005886;GO:0004930;GO:0008502;GO:0007186;GO:0048511	PGEN_.00g042060
GO:0005829;GO:0005634;GO:0005524;GO:0061631;GO:0031625;GO:0031145;GO:0051276;GO:0001745;GO:0001751;GO:0048132;GO:0030718;GO:0007140;GO:0000278;GO:0045879;GO:0016322;GO:0061057;GO:0097039;GO:0000209;GO:0016567;GO:0031647;GO:0045676;GO:0006511	PGEN_.00g042150
GO:0005634;GO:0005524;GO:0061631;GO:0004842;GO:0070979;GO:0070936;GO:0000209	PGEN_.00g042160
GO:0016323;GO:0016021;GO:0005887;GO:0005886;GO:0005308;GO:0008028;GO:0015293;GO:0015881;GO:0015718;GO:0150104	PGEN_.00g042170
GO:0070062;GO:0016021;GO:0005886;GO:0005509;GO:0098609;GO:0021987;GO:0007157;GO:0035329;GO:0007156;GO:0022008	PGEN_.00g042190
GO:0001669;GO:0005814;GO:0005737;GO:0005524;GO:0000287;GO:0106310;GO:0004674;GO:0004712;GO:0044877;GO:0035556;GO:0018105;GO:0046777;GO:0006468;GO:0007286	PGEN_.00g042200
GO:0005901;GO:0005737;GO:0005829;GO:0098691;GO:0098982;GO:0098978;GO:0005887;GO:0099055;GO:0099056;GO:0043231;GO:0031965;GO:0005654;GO:0005634;GO:0005886;GO:0030315;GO:0030018;GO:0004937;GO:0004930;GO:0046982;GO:0007202;GO:0071880;GO:0007512;GO:0007568;GO:0006915;GO:0060402;GO:0061049;GO:0007267;GO:0007186;GO:0035556;GO:0060073;GO:0010259;GO:0010507;GO:0008285;GO:0001985;GO:0035024;GO:0150099;GO:0001994;GO:0007200;GO:0097195;GO:0045760;GO:0060452;GO:0010613;GO:0007204;GO:0070374;GO:0001996;GO:0043410;GO:1903997;GO:0090037;GO:0045987;GO:0032230;GO:0003084;GO:0001997;GO:0045907;GO:2000300;GO:0009725;GO:0009410;GO:0007165;GO:0006939	PGEN_.00g042230
GO:0005737;GO:0004022;GO:0106322;GO:0106321;GO:0008270;GO:0006069	PGEN_.00g042250
GO:0030424;GO:0043197;GO:0099519;GO:0060998;GO:0061001	PGEN_.00g042270
GO:0015629;GO:0045179;GO:0005829;GO:0035324;GO:0035183;GO:0035182;GO:0005886;GO:0030018;GO:0003779;GO:0051015;GO:0051764;GO:0048149;GO:0007303;GO:0008340;GO:0007301;GO:0008302;GO:0030708;GO:0030725;GO:0007616;GO:0000278;GO:0008045;GO:0035204;GO:0051495;GO:0008104;GO:0045214;GO:0110069	PGEN_.00g042280
GO:0005615;GO:0005764;GO:0007193;GO:0019216;GO:0006665	PGEN_.00g042330
GO:0016021;GO:0005887;GO:0008188;GO:0001653;GO:0008344;GO:0002209;GO:0007629;GO:0007186;GO:0008345;GO:0007218;GO:0007204;GO:0032226	PGEN_.00g042340
GO:0005576;GO:0005615;GO:0005770;GO:0005764;GO:0007193;GO:0060742;GO:0007041;GO:0060736;GO:0019216;GO:0006665	PGEN_.00g042350
GO:0000785;GO:0005634;GO:0043204;GO:0003682;GO:0003700;GO:0000981;GO:0070888;GO:0042803;GO:0000978;GO:1990837;GO:0031223;GO:0045165;GO:0090102;GO:0090103;GO:0097094;GO:0048806;GO:0035112;GO:1905748;GO:0048839;GO:0042472;GO:0098583;GO:0071626;GO:1901078;GO:1905747;GO:0007399;GO:0050885;GO:0030182;GO:0030432;GO:0051091;GO:0031536;GO:0045666;GO:0045944;GO:0048634;GO:0006357;GO:0007356;GO:0021559;GO:0021650	PGEN_.00g042390
GO:0005634;GO:0001228;GO:0000981;GO:0046983;GO:0000978;GO:0021542;GO:0030182;GO:0006357	PGEN_.00g042420
GO:0030286;GO:0036156;GO:0005874;GO:0005524;GO:0045505;GO:0051959;GO:0008569;GO:0007018	PGEN_.00g042430
GO:0005858;GO:0030286;GO:0005874;GO:0005524;GO:0045505;GO:0051959;GO:0003777;GO:0008569;GO:0060285;GO:0007018	PGEN_.00g042440
GO:0005858;GO:0030286;GO:0005874;GO:0005524;GO:0045505;GO:0051959;GO:0003777;GO:0008569;GO:0060285;GO:0007018	PGEN_.00g042450
GO:0016021;GO:0022857	PGEN_.00g042490
GO:0005788;GO:0050660;GO:0016491;GO:0030433	PGEN_.00g042500
GO:0016323;GO:0005737;GO:0005887;GO:0016328;GO:0120249;GO:0005886;GO:0015301;GO:0015106;GO:0015108;GO:0042802;GO:0019531;GO:0008271;GO:0030507;GO:0015116;GO:0098656;GO:1902476;GO:0090102;GO:0015755;GO:0034220;GO:0034766;GO:2000147;GO:0045793;GO:0008360;GO:0042391;GO:0010996;GO:0002931;GO:0035864;GO:0009751;GO:1902074;GO:0097066;GO:0009410;GO:0007605	PGEN_.00g042540
GO:0016324;GO:0016323;GO:0031526;GO:0034707;GO:0030659;GO:0005783;GO:0016021;GO:0005887;GO:0016020;GO:0005886;GO:0097225;GO:0031982;GO:0012506;GO:0015301;GO:0015106;GO:0005254;GO:0015108;GO:0015562;GO:0015660;GO:0015499;GO:0042802;GO:0019531;GO:0030165;GO:0008271;GO:0015116;GO:0038166;GO:0015701;GO:0071320;GO:0071332;GO:0071346;GO:0006821;GO:0042045;GO:0015724;GO:0050892;GO:0051454;GO:0015797;GO:0019532;GO:0046724;GO:2001150;GO:0070528;GO:0051453;GO:0048240;GO:0008272;GO:0030321;GO:0070633	PGEN_.00g042550
GO:0005938;GO:0042995;GO:0009898;GO:0031410;GO:0005856;GO:0005829;GO:0016021;GO:0043005;GO:0043025;GO:0005886;GO:0005525;GO:0003924;GO:0019901;GO:0007015;GO:0006915;GO:0048846;GO:0031103;GO:0010171;GO:0016477;GO:0061643;GO:0030865;GO:0097628;GO:0033563;GO:0010172;GO:0048598;GO:0043652;GO:0000132;GO:0030950;GO:0007163;GO:0007369;GO:0070986;GO:0008045;GO:0031115;GO:0002119;GO:0045138;GO:0038007;GO:0001764;GO:0048812;GO:1903356;GO:1901076;GO:0032956;GO:0030334;GO:0008360;GO:1905815;GO:0050764;GO:0032228;GO:0007264	PGEN_.00g042600
GO:0005884;GO:0005938;GO:0042995;GO:0031410;GO:0005856;GO:0005829;GO:0030027;GO:0005635;GO:0005886;GO:0005525;GO:0003924;GO:0019901;GO:0019887;GO:0007015;GO:0030031;GO:0030865;GO:0043652;GO:0007163;GO:0007186;GO:0071593;GO:0008045;GO:0008284;GO:0010592;GO:0090023;GO:0016601;GO:0032956;GO:0008360;GO:0010810;GO:0060753;GO:0043304;GO:1902622;GO:0060263;GO:0042129	PGEN_.00g042610
GO:0016021	PGEN_.00g042630
GO:0016831;GO:0030170;GO:0019752	PGEN_.00g042640
GO:0016021;GO:0005765;GO:0005654;GO:0005886;GO:0045211;GO:0047372;GO:0016298;GO:0046872;GO:0004806;GO:0019369;GO:0071926;GO:0007216;GO:0016042;GO:0007405;GO:0022008;GO:0042136;GO:0010898;GO:0001516;GO:0050727;GO:0098921	PGEN_.00g042650
